strategy,pass_rate,f1.median,f1.mean,precision.mean,recall.mean,matchedFields.median,falsePositives.mean
E00,0.850,0.939,0.903,0.917,0.899,66,5.600
E02,0.875,0.959,0.918,0.941,0.902,69,4.050
E03,1.000,0.969,0.947,0.958,0.939,70,3.000
E04,0.800,0.903,0.870,0.876,0.866,66,8.475
E05,0.975,0.960,0.942,0.951,0.935,71,3.375
S1_per_category_best,0.975,0.969,0.953,0.962,0.947,71,2.650
S2_best_then_majority_fallback,0.975,0.969,0.954,0.962,0.947,71,2.650
S3_majority_then_best,1.000,0.973,0.959,0.970,0.950,71,2.150
S4_weighted_majority,1.000,0.973,0.962,0.973,0.953,71,1.925
S5_weighted_with_null_preference,1.000,0.973,0.962,0.973,0.952,71,1.900
S6_per_field_weighted_majority,1.000,0.973,0.962,0.973,0.953,71,1.925
Z_oracle_upper_bound,1.000,0.986,0.984,0.986,0.983,73,1.025
