engine,sample,input_tokens,output_tokens,cached_tokens,document_pages_standard,contextualization_tokens,wallclock_s
E05,synth-full (1),12154,1973,0,0,0,33.7
E05,manual sample (1),11940,1533,9344,0,0,22.1
E05,1 81,11801,1213,9344,0,0,22.9
E05,HR0081 (10),12052,1883,9472,0,0,28.5
E05,81 blank,11816,1699,9344,0,0,28.4
E07,synth-full (1),11905,1682,0,0,0,62.0
E07,HR0081 (10),11779,1429,9344,0,0,54.3
E07,81 blank,11543,1564,9344,0,0,48.4
E08,synth-full (1),12165,2186,9344,0,0,60.9
E08,manual sample (1),11956,1412,9344,0,0,43.7
E08,1 81,11817,1513,11520,0,0,46.4
E08,HR0081 (10),12068,1811,9472,0,0,51.4
E08,81 blank,11832,1835,9344,0,0,73.8
E03,synth-full (1),17287,3390,0,1,1000,28.4
E03,manual sample (1),17919,2085,0,1,1000,20.9
E03,1 81,17825,2053,0,1,1000,20.4
E03,HR0081 (10),21952,2398,0,1,1000,21.9
E03,81 blank,19236,2051,0,1,1000,31.9
E04,synth-full (1),10264,2014,0,0,0,21.6
E04,manual sample (1),10288,1489,9216,0,0,16.3
E04,1 81,10288,1197,9216,0,0,14.8
E04,HR0081 (10),10288,1282,9216,0,0,15.7
E04,81 blank,10288,1202,9216,0,0,13.0
E07,1 81,11528,1942,9344,0,0,73.5
